#10,,,,体格,,,特殊情報,,,設定,基本パラメータ,,,,,,,,ステータス,,,,物理攻撃,,,魔法攻撃,,防御力,,,,命中,,,回避,,,クリティカル,,,,攻撃速度,,,属性値,,,,,,,状態異常耐性,,,,,,,,,思考ID(通常）,,,,,,,,,,思考(出現),,思考ID(瀕死),,,,,,,,,,思考(終焉）,,スキルリスト,,,,,,,,↓減少HP%分加算,,↓減少HP%分減算,,↓ボス召喚時のスキル,,↓最初最後使用するスキル,,経験値,,,,ドロップ,ドロップアイテム,,,,,,,,,備考
#ID,名前,PICTID,種別ＩＤ,幅,長さ,スケール,飛行,アンデッド,モーションセット番号,LV,腕力,魔力,体力,器用,敏捷,知性,運,魅力,HP,SP,MP,速度,最小,最大,タイプ,最小,最大,物理－,物理％,魔法－,魔法％,近接,遠隔,魔法,近接,遠隔,魔法,発生,回避,回復力,魔回復力,物理,詠唱,射程,無,火,水,風,土,光,闇,毒,石化,麻痺,睡眠,沈黙,鈍足,混乱,氷結,気絶,ID１,確率,ID2,確率,ID3,確率,ID4,確率,ID5,確率,ID,確率,ID１,確率,ID2,確率,ID3,確率,ID4,確率,ID5,確率,ID,確率,ＩＤ１,確率,ＩＤ２,確率,ＩＤ３,確率,ＩＤ４,確率,ＩＤ５,確率,ＩＤ６,確率,ＩＤ７,確率,ＩＤ８,確率,EXP,JOB,WRP,信頼度,ID,アイテムID1,アイテムID2,アイテムID3,アイテムID4,アイテムID5,アイテムID6,アイテムID7,ID8（スタンプ）,ＩＤ8確率, 
#99999999,全角１６文字,99999999,HUMAN,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10000000,プルル,10000000,PLANT,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#初心者の友
10000002,プチプルル,10000000,PLANT,1,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10000003,プチプチプルル,10000000,PLANT_NOTOUCH,1,1,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#ヨワ
10000004,攻撃サンドバック,10000000,PLANT,1,1,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10000006,ジャンボプルル,10000000,PLANT_BOSS_BSEARCH,1,1,7,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#初心者ボス
10000007,アクアマリンプルル,10000000,PLANT_UNITE,1,1,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#初心者の友
10000100,オーカージェリー,10000100,PLANT,1,1,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10000101,無限回廊のオーカージェリー,10000100,PLANT,1,1,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#コーラー担当、プルル系
10000102,ルビープルル,10000100,PLANT,1,1,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#初心者の友
10000103,Ｄ－オーカージェリー,10000100,PLANT,1,1,1.2,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#ディメンションダンジョン用モンスター
